"AlternateTitle","FileIdentifier","Title","Abstract","TopicCategory","Keywords","TemporalExtentBegin","TemporalExtentEnd","DatasetReferenceDate","AdditionalInformationSource","Lineage","DataFormat","ResponsibleOrganisationName","ResponsibleOrganisationEmail","ResponsibleOrganisationRole","LimitationsOnPublicAccess","UseConstraints","SpatialReferenceSystem","Resolution","MetadataDate","MetadataLanguage","MetadataPOCName","MetadataPOCEmail","MetadataPOCRole","ResourceLocator","ResourceType","BBoxNorth","BBoxSouth","BBoxEast","BBoxWest","Path","JNCCReferenceManagerCode","Notes"
"GB000357","","Broadscale mapping of habitats in the Firth of Tay and Eden Estuary, Scotland","A biotope mapping survey of the intertidal and subtidal habitats within the Firth of Tay and Eden Estuary cSAC was undertaken in the summer of 2002, by a collaborative research group from the University of St Andrews, Heriot-Watt University, Edinburgh University and Scottish Natural Heritage (SNH). Mapping of the intertidal area of the cSAC was accomplished principally through the employment of satellite imagery. This imagery was ground truthed by data from intertidal surveys. This information supplemented the existing knowledge on the distribution of marine communities and sediments within the cSAC and all this information was used to produce a series of biotope classification maps.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000357""}, {""reference-manager-code"", ""R3300""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Grabs""}, {""SeabedSurveyTechnique"", ""Dredges""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""SeabedSurveyTechnique"", ""Satellite imagery""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""S","2002-06-01","2002-08-31","2003-12-31","Bates, C. R., Moore, C. G., Malthus, T., Mair, J. M. and Karpouzli, E. (2004). Broad scale
mapping of habitats in the Firth of Tay and Eden Estuary, Scotland. Scottish Natural Heritage
Commissioned Report No. 007 (ROAME No. F01AA401D).","Classification system details: Classified according to MNCR 97.06 scheme with some local modification","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000357&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.49108","56.29856","-2.680560","-3.311788","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000357","R3300","Data gathered by NC on visit to SNH Edinburgh"
"GB000358","","Broadscale mapping of sublittoral habitats in Loch Sunart, Scotland","Loch Sunart is a complex fjordic sea loch on the west coast of Scotland. The loch supports some of the best Scottish and UK examples of bedrock reef habitats and associated communities. The site has been selected as a candidate Special Area of Conservation (cSAC) on the basis of the quality of the reefs present. A biotope mapping survey of the sublittoral habitats within the loch was undertaken in July and August 2001, by a collaborative research group from the University of St Andrews, Heriot-Watt University and Scottish Natural Heritage (SNH). Rapid broad scale remote acoustic mapping techniques were utilised and ground truth data were collected to enable the interpretation of the acoustically-classed seabed maps. These data supplemented the considerable body of existing knowledge on Loch Sunart marine communities and this information was depicted in a series of biotope distribution maps. ","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000358""}, {""reference-manager-code"", ""R3449""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Side scan sonar""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""SeabedSurveyTechnique"", ""Grabs""}, {""SeabedSurveyTechnique"", ""Cores""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to ","2001-07-01","2001-08-31","2003-12-31","Bates, C. R., Moore, C. G., Harries, D. B., Austin, W. and Lyndon, A. R. (2004). Broad scale
mapping of sublittoral habitats in Loch Sunart, Scotland. Scottish Natural Heritage Commissioned
Report No. 006 (ROAME No. F01AA401C).","Classification system details: Classified according to MNCR 97.06 scheme with some local modification","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000358&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.74281","56.59632","-5.541632","-6.039959","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000358","R3449","Data gathered by NC on visit to SNH Edinburgh"
"GB000359","","Broadscale mapping of sublittoral habitats in the Sound of Barra: south east of South Uist","This map covers the area in the north of The Sound of Barra, at the south-eastern end of South Uist. The Sound of Barrahas been selected as a possible Special Area of Conservation (pSAC) on the basis of the nationally important colony of common seals, Phoca vitulina, and also for the wide variety of habitats associated with shallow ‘sandbanks which are slightly covered by seawater all the time’. A number of the sandbank habitats are of considerable conservation value, most notably the extensive beds of the eelgrass Zostera marina and tide-swept maerl beds composed of the coralline red alga Phymatolithon calcareum. A comprehensive biotope mapping survey of the sublittoral habitats within the Sound was undertaken in August 2001, by a collaborative research group from the University of St Andrews, Heriot-Watt University, Edinburgh University and Scottish Natural Heritage (SNH). This information supplemented the existing knowledge on the distribution of marine communities within the Sound of Barra pSAC and all this information was synthesised into a series of biotope classification maps.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000359""}, {""reference-manager-code"", ""R3301, OF1309""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Satellite imagery""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""SeabedSurveyTechnique"", ""Grabs""}, {""SeabedSurveyTechnique"", ""Cores""}, {""OriginalSeabedClassificationSystem"", ""Local""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Tra","2001-08-01","2001-08-31","2003-12-31","Bates, C. R., Moore, C. G., Malthus, T., Harries, D. B., Austin, W., Mair, J. M. and
Karpouzli, E. (2004). Broad scale mapping of sublittoral habitats in The Sound of Barra, Scotland.
Scottish Natural Heritage Commissioned Report No. 005 (ROAME No. F01AA4","Classification system details: Classified according to 5 substrate types and 3 biological descriptions. Associated datasets: GB000360; GB000423","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)","http://www.opengis.net/def/crs/EPSG/0/4326",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000359&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","57.10583","57.07246","-7.214554","-7.269110","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000359","R3301, OF1309","Failed to batch dissolve and failed manual dissolve. Tried to simplify with MESH tools but one poly couldn't be simpilfied: digitise boundary polygon. Non-simple topology: failed to simplify.  Need to sort out DET_DATE!  Defra data contract Phase I"
"GB000360","","Broadscale mapping of sublittoral habitats in the Sound of Barra: north east of Barra","This map covers the area in the south of The Sound of Barra, at the northeastern corner of Barra (from Traigh Mhor to near Loch Obe). The Sound of Barra has been selected as a possible Special Area of Conservation (pSAC) on the basis of the nationally important colony of common seals, Phoca vitulina, and also for the wide variety of habitats associated with shallow ‘sandbanks which are slightly covered by seawater all the time’. A number of the sandbank habitats are of considerable conservation value, most notably the extensive beds of the eelgrass Zostera marina and tide-swept maerl beds composed of the coralline red alga Phymatolithon calcareum. A comprehensive biotope mapping survey of the sublittoral habitats within the Sound was undertaken in August 2001, by a collaborative research group from the University of St Andrews, Heriot-Watt University, Edinburgh University and Scottish Natural Heritage (SNH). This information supplemented the existing knowledge on the distribution of marine communities within the Sound of Barra pSAC and all this information was synthesised into a series of biotope classification maps.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000360""}, {""reference-manager-code"", ""R3301, OF1309""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Satellite imagery""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""SeabedSurveyTechnique"", ""Grabs""}, {""SeabedSurveyTechnique"", ""Cores""}, {""OriginalSeabedClassificationSystem"", ""Local""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Tra","2001-08-01","2001-08-31","2003-12-31","Bates, C. R., Moore, C. G., Malthus, T., Harries, D. B., Austin, W., Mair, J. M. and
Karpouzli, E. (2004). Broad scale mapping of sublittoral habitats in The Sound of Barra, Scotland.
Scottish Natural Heritage Commissioned Report No. 005 (ROAME No. F01AA4","Classification system details: Classified according to 5 substrate types and 3 biological descriptions. Associated datasets: GB000359; GB000423","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)","http://www.opengis.net/def/crs/EPSG/0/4326",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000360&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","57.04834","56.96146","-7.283756","-7.411242","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000360","R3301, OF1309","Non-simple topology: failed to simplify.  Defra data contract Phase I"
"GB000361","","Broad Scale Mapping of Mousa cSAC: intertidal biotopes","This dataset is a biotope map of the intertidal area around Mousa, Shetland. The survey visited the island of Mousa cSAC in August and September 2003 with the aim of providing a comprehensive broad scale intertidal and subtidal biotope distribution map of Mousa cSAC. Particular emphasis was placed upon the mapping and recording of the reef and cave communities present on the island. ","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000361""}, {""reference-manager-code"", ""R3450""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Aerial photography""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}","2003-08-01","2003-09-30","2004-03-31","Posford Haskoning Ltd (2004) Broad Scale Mapping of Mousa cSAC","Classification system details: Classified according to MNCR 97.02. Associated datasets: GB000362; GB000363","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000361&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","60.01036","59.98496","-1.154968","-1.196333","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000361","R3450",""
"GB000363","","Broad Scale Mapping of Mousa cSAC: subtidal lifeforms","This dataset is a subtidal lifeforms map for the area around Mousa, Shetland. The survey visited the island of Mousa cSAC in August and September 2003 with the aim of providing a comprehensive broad scale intertidal and subtidal biotope distribution map of Mousa cSAC. Particular emphasis was placed upon the mapping and recording of the reef and cave communities present on the island.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000363""}, {""reference-manager-code"", ""R3450""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""Lifeforms""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}","2003-08-01","2003-09-30","2004-03-31","Posford Haskoning Ltd (2004) Broad Scale Mapping of Mousa cSAC","Classification system details: Classified according to 8 lifeforms. Associated datasets: GB000361; GB000362","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000363&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","60.02781","59.97391","-1.131069","-1.216238","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000363","R3450","DUPLICATE: this covers an identical area to that covered by GB000362 but in greater detail"
"GB000364","","Broad Scale Biotope Mapping of the Isle of May cSAC: intertidal biotopes","As part of the Forth Spatial Study the intertidal and subtidal areas of the Isle of May cSAC, and a surrounding 1km wide buffer zone were surveyed to provide a comprehensive broad scale biotope distribution map of the area. This dataset is an intertidal biotope map of the island.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000364""}, {""reference-manager-code"", ""Offshore 733""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Confidence assessment complete""}, {""SeabedMapStatus"", ""Translated to EUNIS""}","2002-09-09","2002-09-11","2003-04-30","ERT (Scotland) Ltd (2003). The Forth Spatial Study:  Broad Scale Biotope Mapping of the Isle of May SAC. Scottish Natural Heritage Commissioned Report F01AA407","Classification system details: Classified according to MNCR 97.02. Survey technique details: Biotopes noted onto 1:2,500 scale OS maps. Associated datasets: GB000365; GB000366","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)","http://www.opengis.net/def/crs/EPSG/0/27700",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000364&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.19580","56.17684","-2.543365","-2.570145","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000364","Offshore 733",""
"GB000365","","Broad Scale Biotope Mapping of the Isle of May cSAC: subtidal lifeforms","As part of the Forth Spatial Study the intertidal and subtidal areas of the Isle of May cSAC, and a surrounding 1km wide buffer zone were surveyed to provide a comprehensive broad scale biotope distribution map of the area. This dataset is a subtidal lifeforms map of the 1km buffer zone around the island.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000365""}, {""reference-manager-code"", ""Offshore 733""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Towed video""}, {""SeabedSurveyTechnique"", ""Drop camera""}, {""SeabedSurveyTechnique"", ""Grabs""}, {""SeabedSurveyTechnique"", ""Side scan sonar""}, {""OriginalSeabedClassificationSystem"", ""Lifeforms""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus""","2002-09-16","2002-09-22","2003-04-30","ERT (Scotland) Ltd (2003). The Forth Spatial Study:  Broad Scale Biotope Mapping of the Isle of May SAC. Scottish Natural Heritage Commissioned Report F01AA407","Classification system details: Classified according to 12 lifeforms. Survey technique details: Dual frequency RoxAnn AGDS; side scan sonar; drop-down/towed video; hand-operated grab. Associated datasets: GB000364; GB000366","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)","http://www.opengis.net/def/crs/EPSG/0/27700",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000365&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.21318","56.16244","-2.509607","-2.605229","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000365","Offshore 733","DUPLICATE: this map covers the same area as covered by GB000366, but in more detail"
"GB000367","","Biotope Mapping and Survey of the Treshnish Isles Candidate Special Area of Conservation (cSAC) - subtidal biotopes","Survey of the intertidal and subtidal zones of the  Treshnish Isles cSAC to provide a broad scale biotope distribution map for the area. This dataset is a map of predicted subtidal lifeforms for the area surrounding the Treshnish Isles.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000367""}, {""reference-manager-code"", ""OF734""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}","2003-08-05","2003-08-09","2004-03-31","ERT (Scotland) Ltd (2004) Biotope Mapping and Survey of the Treshnish Isles Candidate Special Area of Conservation (cSAC)","Classification system details: Classified according to 13 97.02 MNCR biotopes (partial codes). Associated datasets: GB000368; GB000369","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000367&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.54851","56.45432","-6.351960","-6.464734","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000367","OF734",""
"GB000369","","Biotope Mapping and Survey of the Treshnish Isles Candidate Special Area of Conservation (cSAC) - intertidal biotopes","Survey of the intertidal and subtidal zones of the  Treshnish Isles cSAC to provide a broad scale biotope distribution map for the area. This dataset is a map of intertidal biotopes on the Treshnish Isles.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000369""}, {""reference-manager-code"", ""RM1433, OF734""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Aerial photography""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Confidence assessment complete""}, {""SeabedMapStatus"", ""Translated to EUNIS""}","2003-08-11","2003-08-17","2004-03-31","ERT (Scotland) Ltd (2004) Biotope Mapping and Survey of the Treshnish Isles Candidate Special Area of Conservation (cSAC)","Classification system details: Classified according to MNCR 97.02. Associated datasets: GB000367; GB000368","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000369&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.52526","56.47740","-6.368964","-6.443142","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000369","RM1433, OF734","DUPLICATE: this map covers the same area as GB000368 but in more detail"
"GB000371","","Mapping of the benthic biotopes in the proposed Sound of Arisaig Special Area of Conservation","SNH commissioned the BioMar project to map the distribution of biotopes and lifeforms in the Sound of Arisaig pSAC, and in addition, undertake further detailed studies of the maerl beds within the site. Video and grab samples were collected, and 12 sites surveyed in detail by diving to collect samples for maerl analysis and characterisation of the biotopes associated with the maerl. 23 biotopes were identified from the video samples and by the MNCR sealochs survey. A map of the predicted biotope distribution based on the acoustic characteristics of the sea bed was prepared for the survey area.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000371""}, {""reference-manager-code"", ""R2412, OF1309""}, {""SeabedSurveyPurpose"", ""Research""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""AGDS""}, {""SeabedSurveyTechnique"", ""Grabs""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""SeabedSurveyTechnique"", ""Cores""}, {""SeabedSurveyTechnique"", ""Towed video""}, {""OriginalSeabedClassificationSystem"", ""Lifeforms""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Trans","1995-01-01","1996-12-31","1996-12-31","Davies, J. & Hall-Spencer, J. (1996). Mapping of the benthic biotopes in the proposed Sound of Arisaig Special Area of Conservation. Scottish natural Heritage Research, Survey and Monitoring Report No. 83","Classification system details: Classified according to lifeforms. Survey technique details: Track spacing of whole area: 0.25km. Areas of interest: 0.125km spacing. Ground truthed by towed video recorder.. Associated datasets: GB000256; GB000257; GB000261","Geographic Information System","Scottish Natural Heritage","xenquiries@snh.gov.uk","originator","","Data may only be used with permission from, and according to any conditions imposed by, the data owner(s)","http://www.opengis.net/def/crs/EPSG/0/32630",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000371&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.89706","56.73438","-5.693726","-5.982358","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000371","R2412, OF1309","DUPLICATE: this is the uncorrupted version of GB000256, GB000257, GB000262 (and GB00261 - record removed). Received from Jon Davies.  Defra data contract Phase I"
"GB000372","","MNCR Area Summaries - Inlets in eastern England","A series of twelve marine inlets on the East Anglian and north Kent coasts (MNCR sector 6) have been studied as part of the Marine Nature Conservation Review programme. Comparable data from other organisations have been added to provide information on over 460 sites within the twelve inlets and analysed to classify the biotopes present. ","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000372""}, {""reference-manager-code"", ""B230""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1992-01-01","1993-12-31","","Hill, T.O., Emblow, C.S., & Northern, K.O. (1996) Marine Nature Conservation Review Sector 6. Inlets in eastern England: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000282","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000372&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","53.01713","51.19804","1.742931","0.442411","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000372","B230","Shapefiles split into two parts (parts 1 & 2) which overlap each other (attributes disagree - GB000282 is not translated)"
"GB000374","","MNCR Area Summaries - Sealochs in the Clyde Sea","The sealochs of the Clyde Sea (MNCR Sector 12) have been studied as part of the Marine Nature Conservation Review programme. The studies included field surveys of the shores and nearshore subtidal zone to describe the biotopes. Comparable data from other organisations have been added to provide information on over 250 sites within the region and analysed to classify the biotopes present. The information available for MNCR Sector 12 is presented as 7 area summaries.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000374""}, {""reference-manager-code"", ""B263, OF1309""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1988-01-01","1990-12-31","","Dipper, F.A. & Beaver, R. (1999) Marine Nature Conservation Review Sector 12. Sealochs in the Clyde Sea: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000287","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000374&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.26528","55.96087","-4.742851","-4.985984","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000374","B263, OF1309","Shapefiles split into two parts (parts 1 & 2).  Polygons overlap very slightly between parts 1 & 2  Defra data contract Phase I"
